method,problem,x0,x_final,f_final,grad_norm_final,iterations,func_calls,grad_calls,hess_calls,converged,status,experiment,n,condition_number,x_star,restarts,fallback_count,accepted_steps,final_delta,skipped_updates,memory,scipy_status,start_index,nearest_minimum,nearest_minimum_point,nearest_minimum_distance
quadratic_cg,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848454,2.7755575615628914e-16,1,1,2,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,2,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,2,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,,,,,,,
newton_cholesky,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848451,2.2887833992611187e-16,1,1,2,1,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,,,,,,,,,
newton_direction,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,0.0,1,3,3,1,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,0.0,,,,,,,,,
dogleg,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,0.0,2,5,3,2,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,2.0,2.0,,,,,,,
dfp,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,3,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,0.0,,,,,,
bfgs,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,3,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,0.0,,,,,,
lbfgs,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,4,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,0.0,10.0,,,,,
scipy_newton_cg,quadratic_n2_k1,"[0, 0]","[0, 0]",0.0,1.2038565744181031,0,1,1,0,False,scipy_not_installed,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n2_k10,"[0, 0]","[0.7447565993, -1.521766263]",-7.985608576615407,3.03543989777123e-14,2,1,3,0,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n2_k10,"[0, 0]","[0.7447566015, -1.521766256]",-7.985608576615409,8.542082955756984e-09,41,154,42,0,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",2.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n2_k10,"[0, 0]","[0.7447565978, -1.521766264]",-7.985608576615409,9.681959899782669e-09,35,146,36,0,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",10.0,,,,,,,,,,
newton_cholesky,quadratic_n2_k10,"[0, 0]","[0.7447565993, -1.521766263]",-7.985608576615409,0.0,1,1,2,1,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",,,,,,,,,,,
newton_direction,quadratic_n2_k10,"[0, 0]","[0.7447565993, -1.521766263]",-7.985608576615408,0.0,1,3,3,1,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",,0.0,,,,,,,,,
dogleg,quadratic_n2_k10,"[0, 0]","[0.7447565993, -1.521766263]",-7.985608576615409,0.0,2,5,3,2,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",,,2.0,2.0,,,,,,,
dfp,quadratic_n2_k10,"[0, 0]","[0.7447565993, -1.521766263]",-7.985608576615409,1.1604755793909998e-10,4,12,9,0,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",0.0,,,,1.0,,,,,,
bfgs,quadratic_n2_k10,"[0, 0]","[0.7447565993, -1.521766263]",-7.985608576615409,3.540995498107602e-11,6,18,13,0,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",0.0,,,,2.0,,,,,,
lbfgs,quadratic_n2_k10,"[0, 0]","[0.7447565997, -1.521766264]",-7.985608576615409,6.47734388061444e-09,9,22,28,0,True,converged,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",0.0,,,,1.0,10.0,,,,,
scipy_newton_cg,quadratic_n2_k10,"[0, 0]","[0, 0]",0.0,12.123491212104959,0,1,1,0,False,scipy_not_installed,quadratic_grid,2.0,10.0,"[0.7447565993, -1.521766263]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.8644882136699,7.128925231615104e-13,2,1,3,0,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n2_k100,"[0, 0]","[0.8635800628, -0.4376240087]",-43.864488213669915,9.971525277424583e-09,2426,96997,2427,0,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",10.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n2_k100,"[0, 0]","[0.8635800874, -0.4376238776]",-43.8644882136699,3.7259962251089273e-07,3000,103267,3001,0,False,max_iter_reached,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",26.0,,,,,,,,,,
newton_cholesky,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.864488213669894,2.929642751054232e-14,1,1,2,1,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",,,,,,,,,,,
newton_direction,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.864488213669894,3.552713678800501e-15,1,3,3,1,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",,0.0,,,,,,,,,
dogleg,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.864488213669894,3.552713678800501e-15,1,3,2,1,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",,,1.0,1.0,,,,,,,
dfp,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.864488213669894,3.552713678800501e-15,3,13,7,0,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",0.0,,,,1.0,,,,,,
bfgs,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.86448821366989,1.2511804674465681e-11,3,13,7,0,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",0.0,,,,0.0,,,,,,
lbfgs,quadratic_n2_k100,"[0, 0]","[0.8635800608, -0.4376240177]",-43.8644882136699,6.089094353662272e-10,5,21,20,0,True,converged,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",0.0,,,,0.0,10.0,,,,,
scipy_newton_cg,quadratic_n2_k100,"[0, 0]","[0, 0]",0.0,93.63171518740036,0,1,1,0,False,scipy_not_installed,quadratic_grid,2.0,100.0,"[0.8635800608, -0.4376240177]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n2_k1000,"[0, 0]","[-0.1605034331, 2.112726181]",-254.8131361280231,8.07251801799593e-11,2,1,3,0,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n2_k1000,"[0, 0]","[-0.1605034282, 2.112726191]",-254.81313612802322,2.1514788301370166e-06,3000,127413,3001,0,False,max_iter_reached,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",14.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n2_k1000,"[0, 0]","[-0.1605034936, 2.112725964]",-254.8131361280232,1.1397992332580756e-06,3000,81834,3001,0,False,max_iter_reached,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",1058.0,,,,,,,,,,
newton_cholesky,quadratic_n2_k1000,"[0, 0]","[-0.1605034331, 2.112726181]",-254.81313612802313,0.0,1,1,2,1,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",,,,,,,,,,,
newton_direction,quadratic_n2_k1000,"[0, 0]","[-0.1605034331, 2.112726181]",-254.81313612802316,0.0,1,3,3,1,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",,0.0,,,,,,,,,
dogleg,quadratic_n2_k1000,"[0, 0]","[-0.1605034331, 2.112726181]",-254.81313612802313,2.842170943040401e-14,2,5,3,2,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",,,2.0,2.0,,,,,,,
dfp,quadratic_n2_k1000,"[0, 0]","[-0.1605034331, 2.112726181]",-254.81313612802313,0.0,3,16,7,0,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",0.0,,,,1.0,,,,,,
bfgs,quadratic_n2_k1000,"[0, 0]","[-0.1605034332, 2.112726181]",-254.81313612802307,3.7694567159996197e-10,3,16,7,0,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",0.0,,,,0.0,,,,,,
lbfgs,quadratic_n2_k1000,"[0, 0]","[-0.1605034331, 2.112726181]",-254.8131361280231,3.133619458635987e-10,13,40,44,0,True,converged,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",0.0,,,,2.0,10.0,,,,,
scipy_newton_cg,quadratic_n2_k1000,"[0, 0]","[0, 0]",0.0,711.0882682628296,0,1,1,0,False,scipy_not_installed,quadratic_grid,2.0,1000.0,"[-0.1605034331, 2.112726181]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.97148583479113,1.5208054675778331e-15,1,1,2,0,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.971485834791132,1.3009639638081844e-15,1,3,2,0,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",0.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.971485834791132,1.3009639638081844e-15,1,3,2,0,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",0.0,,,,,,,,,,
newton_cholesky,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.971485834791129,4.997930709674e-16,1,1,2,1,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",,,,,,,,,,,
newton_direction,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.97148583479113,2.9893669801409083e-16,1,3,3,1,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",,0.0,,,,,,,,,
dogleg,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.97148583479113,2.482534153247273e-16,3,7,4,3,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",,,3.0,4.0,,,,,,,
dfp,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.971485834791132,1.3009639638081844e-15,1,3,3,0,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",0.0,,,,0.0,,,,,,
bfgs,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.971485834791132,1.3009639638081844e-15,1,3,3,0,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",0.0,,,,0.0,,,,,,
lbfgs,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",-4.971485834791132,1.3009639638081844e-15,1,3,4,0,True,converged,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",0.0,,,,0.0,10.0,,,,,
scipy_newton_cg,quadratic_n10_k1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,3.1532477970470794,0,1,1,0,False,scipy_not_installed,quadratic_grid,10.0,1.0,"[1.581435642, 0.6169177407, 0.5841079069, -1.611341298, 0.09396765923, -0.8402810554, 0.2613497087, -0.4445995485, 1.579121487, -0.8058184562]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",-18.288929058563905,1.327145669316449e-13,10,1,11,0,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.2019289892, 2.496789387, 0.3170787461, 0.4405964453, -1.124894105, -0.8482703786, -0.06284983749, -0.6892756503, 2.068645723]",-18.288929058563916,6.16841045666122e-09,99,506,100,0,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",3.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.2019289895, 2.49678939, 0.3170787455, 0.4405964451, -1.124894104, -0.8482703798, -0.06284983853, -0.6892756515, 2.068645723]",-18.288929058563916,8.542637197075557e-09,61,290,62,0,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",25.0,,,,,,,,,,
newton_cholesky,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",-18.2889290585639,1.793620188084545e-15,1,1,2,1,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",,,,,,,,,,,
newton_direction,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",-18.288929058563905,2.318213734067276e-15,1,3,3,1,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",,0.0,,,,,,,,,
dogleg,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",-18.288929058563905,4.577566798522237e-16,3,7,4,3,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",,,3.0,4.0,,,,,,,
dfp,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.22537239, 0.2019289886, 2.49678939, 0.3170787442, 0.4405964449, -1.124894105, -0.8482703801, -0.06284983833, -0.689275651, 2.068645723]",-18.28892905856391,5.6911338946142196e-09,20,53,41,0,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",0.0,,,,4.0,,,,,,
bfgs,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.2019289894, 2.496789389, 0.3170787465, 0.440596446, -1.124894105, -0.8482703784, -0.06284983729, -0.6892756509, 2.068645723]",-18.28892905856391,6.648379401783897e-09,19,48,39,0,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",0.0,,,,2.0,,,,,,
lbfgs,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1.225372391, 0.2019289885, 2.49678939, 0.3170787453, 0.4405964448, -1.124894105, -0.8482703799, -0.0628498381, -0.6892756504, 2.068645723]",-18.28892905856391,7.616069025002752e-09,32,534,93,0,True,converged,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",0.0,,,,14.0,10.0,,,,,
scipy_newton_cg,quadratic_n10_k10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,11.073196716001508,0,1,1,0,False,scipy_not_installed,quadratic_grid,10.0,10.0,"[-1.225372391, 0.201928989, 2.49678939, 0.3170787454, 0.4405964452, -1.124894105, -0.8482703799, -0.06284983856, -0.6892756509, 2.068645723]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",-107.2685537561805,8.378528925314823e-11,12,1,13,0,True,converged,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889772, 1.002554175, -0.6636125546, 0.3418611431, -1.776981822, 1.277792294, 0.7660701913, 0.8920817647, 0.5550023135, -0.480649652]",-107.26855375618058,4.7026758060487443e-07,3000,123844,3001,0,False,max_iter_reached,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",1.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562888858, 1.00255403, -0.6636127, 0.3418612327, -1.776981972, 1.277792276, 0.7660701701, 0.8920819766, 0.5550020255, -0.4806495268]",-107.26855375618044,1.2149553263935941e-06,3000,104713,3001,0,False,max_iter_reached,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",18.0,,,,,,,,,,
newton_cholesky,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",-107.26855375618048,2.1390168887322673e-14,1,1,2,1,True,converged,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",,,,,,,,,,,
newton_direction,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",-107.26855375618047,2.8618784650046125e-14,1,3,3,1,True,converged,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",,0.0,,,,,,,,,
dogleg,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",-107.26855375618048,1.637720085286689e-14,3,7,4,3,True,converged,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",,,3.0,4.0,,,,,,,
dfp,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889564, 1.002554164, -0.6636125821, 0.3418611333, -1.776981873, 1.27779232, 0.7660701616, 0.8920817668, 0.5550022948, -0.4806496506]",-107.26855375618052,5.110359650794155e-08,3000,83586,6001,0,False,max_iter_reached,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",0.0,,,,2985.0,,,,,,
bfgs,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889573, 1.002554164, -0.6636125804, 0.341861135, -1.776981869, 1.277792316, 0.766070164, 0.8920817679, 0.5550022938, -0.4806496512]",-107.26855375618048,8.077590130798297e-10,19,65,39,0,True,converged,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",0.0,,,,2.0,,,,,,
lbfgs,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6562889703, 1.002554168, -0.6636125652, 0.3418611359, -1.776981865, 1.277792319, 0.7660701702, 0.8920817873, 0.5550022964, -0.480649649]",-107.26855375618052,2.7311279497497575e-07,3000,236514,6050,0,False,max_iter_reached,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",0.0,,,,2960.0,10.0,,,,,
scipy_newton_cg,quadratic_n10_k100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,119.27039986706791,0,1,1,0,False,scipy_not_installed,quadratic_grid,10.0,100.0,"[0.6562889573, 1.002554164, -0.6636125804, 0.3418611349, -1.776981869, 1.277792315, 0.7660701641, 0.8920817679, 0.5550022938, -0.4806496512]",,,,,,,not_installed,,,,
quadratic_cg,quadratic_n10_k1000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-0.5876699879, 0.104984204, -0.5257251485, 1.702642783, 1.39629717, 0.3944613878, -0.071436852, -0.1236263632, 0.08798395237, -0.06227438208]",-947.7250090308563,4.337365204633348e-10,14,1,15,0,True,converged,quadratic_grid,10.0,1000.0,"[-0.5876699879, 0.104984204, -0.5257251485, 1.702642783, 1.39629717, 0.3944613878, -0.07143685201, -0.1236263632, 0.08798395236, -0.06227438208]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n10_k1000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-0.5876695208, 0.1049843555, -0.5257250661, 1.702642313, 1.396297478, 0.3944608497, -0.0714361586, -0.1236264999, 0.08798373042, -0.06227419582]",-947.7250090308562,7.389162011783095e-06,3000,133205,3001,0,False,max_iter_reached,quadratic_grid,10.0,1000.0,"[-0.5876699879, 0.104984204, -0.5257251485, 1.702642783, 1.39629717, 0.3944613878, -0.07143685201, -0.1236263632, 0.08798395236, -0.06227438208]",3.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n10_k1000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-0.587668967, 0.1049844763, -0.5257254745, 1.702642438, 1.39629741, 0.3944612224, -0.07143612016, -0.1236265094, 0.0879842778, -0.06227400133]",-947.7250090308511,2.3469127380989276e-05,3000,100813,3001,0,False,max_iter_reached,quadratic_grid,10.0,1000.0,"[-0.5876699879, 0.104984204, -0.5257251485, 1.702642783, 1.39629717, 0.3944613878, -0.07143685201, -0.1236263632, 0.08798395236, -0.06227438208]",754.0,,,,,,,,,,
